School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2016,Reading,7,5283,Pocahontas Area,39,50,78.0,70.1 - 80%,
2016,Math,3,0072,Albert City-Truesdale,15,16,93.8,90.1 - 100%,
2016,Math,3,5994,Sibley-Ocheyedan,15,16,93.8,90.1 - 100%,
2016,Math,5,6097,South Page,,,,Not Reportable,
2017,Reading,3,4536,Mount Pleasant Comm School District,109,137,79.6,70.1 - 80%,
2016,Reading,3,7047,Winfield-Mt Union,12,16,75.0,70.1 - 80%,
2017,Reading,4,1211,Clarke Comm School District,70,97,72.2,70.1 - 80%,
2016,Reading,5,2113,Essex,10,13,76.9,70.1 - 80%,
2016,Math,11,4775,Northeast Hamilton,0,0,0.0,Not Reportable,
2017,Reading,7,6983,West Lyon Comm School District,68,78,87.2,80.1 - 90%,
2017,Reading,7,1079,Central Lee Comm School District,50,78,64.1,60.1 - 70%,
2017,Math,5,5607,Rock Valley Comm School District,53,68,77.9,70.1 - 80%,
2017,Math,8,3906,Lynnville-Sully Comm School District,35,38,92.1,90.1 - 100%,
2016,Reading,8,3420,Lake Mills,39,50,78.0,70.1 - 80%,
2017,Math,11,5607,Rock Valley Comm School District,43,48,89.6,80.1 - 90%,
2017,Math,11,3375,Knoxville Comm School District,93,108,86.1,80.1 - 90%,
2017,Math,3,2169,Fairfield Comm School District,92,114,80.7,80.1 - 90%,
2017,Reading,11,1975,River Valley Comm School District,25,29,86.2,80.1 - 90%,
2017,Math,4,0153,North Butler Comm School District,44,47,93.6,90.1 - 100%,
2015,Reading,4,0333,North Union,15,19,78.9,70.1 - 80%,
2016,Reading,4,1116,Charles City,60,89,67.4,60.1 - 70%,
2016,Reading,3,7092,Woodbine,12,16,75.0,70.1 - 80%,
2017,Math,7,4662,New Hampton Comm School District,45,51,88.2,80.1 - 90%,
2016,Reading,11,0423,Aurelia,,,,Not Reportable,
2017,Math,8,3029,Howard-Winneshiek Comm School District,57,76,75.0,70.1 - 80%,
2016,Math,4,4772,Central Springs,42,50,84.0,80.1 - 90%,
2017,Reading,4,1134,Charter Oak-Ute Comm School District,22,25,88.0,80.1 - 90%,
2017,Reading,4,4437,Montezuma Comm School District,36,38,94.7,90.1 - 100%,
2017,Math,3,5310,Postville Comm School District,27,46,58.7,50.1 - 60%,
2017,Reading,6,7047,Winfield-Mt Union Comm School District,21,24,87.5,80.1 - 90%,
2017,Reading,4,0916,CAL Comm School District,15,19,78.9,70.1 - 80%,
2016,Math,6,3042,Hudson,47,56,83.9,80.1 - 90%,
2017,Math,3,1082,Central DeWitt School District,79,92,85.9,80.1 - 90%,
2017,Reading,11,3609,Lenox Comm School District,27,30,90.0,80.1 - 90%,
2017,Reading,6,2520,Glidden-Ralston Comm School District,13,16,81.3,80.1 - 90%,
2016,Reading,7,3114,Indianola,238,285,83.5,80.1 - 90%,
2017,Math,11,0081,Albia Comm School District,66,77,85.7,80.1 - 90%,
2017,Math,3,4131,Mason City Comm School District,203,302,67.2,60.1 - 70%,
2016,Math,3,6471,Tripoli,15,16,93.8,90.1 - 100%,
2016,Math,6,7002,Whiting,9,14,64.3,60.1 - 70%,
2017,Reading,6,6983,West Lyon Comm School District,64,74,86.5,80.1 - 90%,
2016,Math,4,6651,Villisca,15,16,93.8,90.1 - 100%,
2017,Reading,4,1503,Creston Comm School District,59,94,62.8,60.1 - 70%,
2017,Reading,11,6101,Southeast Polk Comm School District,354,462,76.6,70.1 - 80%,
2016,Math,8,3798,Logan-Magnolia,47,53,88.7,80.1 - 90%,
2017,Math,7,4775,Northeast Hamilton Comm School District,0,0,0.0,Not Reportable,
